Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
43,C625159,MCP111T-240E/LB,MICROCHIP,SC-70-3,,Active Low 1 SC-70-3 Supervisor and Reset ICs ROHS,yes,1,1,1,1.7969,1.80,https://www.lcsc.com/product-detail/C625159.html
44,C179634,ABM7-24.000MHZ-D2Y-T,ABRACON,SMD6035-2P,,24MHz 18pF 50Ω SMD6035-2P Ceramic Resonators ROHS,yes,1,1,1,0.5894,0.59,https://www.lcsc.com/product-detail/C179634.html
45,C50278,MPU-6500,TDK InvenSense,QFN-24-EP(3x3),,Accelerometer Gyroscope QFN-24-EP(3x3) Accelerometers ROHS,yes,1,1,1,2.4079,2.41,https://www.lcsc.com/product-detail/C50278.html
46,C97633,ICM-20602,TDK InvenSense,LGA-16(3x3),,LGA-16(3x3) Accelerometers ROHS,yes,1,1,1,2.8051,2.81,https://www.lcsc.com/product-detail/C97633.html
47,C19171301,A-SP192DGHC-C01-4T,Amicc,0603,,225mcd~450mcd Water Clear -40℃~+85℃ op View Mount 520nm~535nm Green 120° 70mW 2.4V~3V 0603 LED Indication - Discrete ROHS,yes,20,20,20,0.0223,0.45,https://www.lcsc.com/product-detail/C19171301.html
48,C552836,"PMEG2020CPA,115",Nexperia,SOT-1061,,20V 1 Pair Common Cathode 420mV@2A 2A SOT-1061 Schottky Diodes ROHS,yes,5,5,5,0.1679,0.84,https://www.lcsc.com/product-detail/C552836.html
49,C57097,STM32F427VIT6,ST,LQFP-100(14x14),,ARM-M4 180MHz LQFP-100(14x14) Microcontrollers (MCU/MPU/SOC) ROHS,yes,1,1,1,7.7228,7.72,https://www.lcsc.com/product-detail/C57097.html
50,C66029,FM25V02A-GTR,Infineon/CYPRESS,SOIC-8,,256Kbit 40MHz SPI SOIC-8 FRAM ROHS,yes,1,1,1,2.7276,2.73,https://www.lcsc.com/product-detail/C66029.html
51,C123497,0402X474K6R3CT,Walsin,0402,,6.3V 470nF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,100,0.0025,0.25,https://www.lcsc.com/product-detail/C123497.html
52,C46472649,1.25GH-5AWT,FG,"SMD,P=1.25mm,Surface Mount,Right Angle",,"1x5P 1 GH 5P 1.25mm 5 Surface Mount, Right Angle SMD,P=1.25mm,Surface Mount,Right Angle Wire To Board Connector ROHS",yes,5,5,5,0.0713,0.36,https://www.lcsc.com/product-detail/C46472649.html
